,__logger_started__,_checkpoint,_cmp_greater,_nonjson_fields,best_checkpoint_attr_value,best_result,checkpoint_at_end,checkpoint_freq,checkpoint_score_attr,config:dropout,config:hidden_size,config:l1_reg,config:l2_reg,config:learning_rate_steps,config:num_layers,config:opt_batch_per_epoch,config:ssipp_teacher_heuristic,config:supervised_batch_size,config:supervised_learning_rate,config:target_rollouts_per_epoch,coverage,coverage_by_name:experiments.ex_blocksworld,coverage_by_name:experiments.prob_blocksworld,custom_trial_name,date,done,dropout,episodes_total,error_file,experiment_id,experiment_tag,export_formats,extra_arg,hidden_size,history,hostname,iterations_since_restore,keep_checkpoints_num,l1_reg,l2_reg,last_debug,last_update_time,learning_rate_steps,local_dir,logdir,loggers,max_failures,node_ip,num_failures,num_layers,opt_batch_per_epoch,param_config,pid,resources:cpu,resources:extra_cpu,resources:extra_gpu,resources:gpu,result_logger,results,runner,ssipp_teacher_heuristic,status,supervised_batch_size,supervised_learning_rate,sync_function,target_rollouts_per_epoch,time_since_restore,time_this_iter_s,time_total_s,timestamp,timesteps_since_restore,timesteps_total,trainable_name,training_iteration,trial_id,upload_dir,verbose
0,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,19.0,0.0,0.00947472800377855,[],2.0,380.0,h-add,62.0,0.0036859637209651925,136.0,1.08,0.15111111111111108,0.9288888888888889,,2019-07-18_18-48-06,True,0.25,,,d26cd9525dc14210bdfda0bd30be6e1e,"1_dropout=0.25,hidden_size=19,l1_reg=0.0,l2_reg=0.0094747,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=380,ssipp_teacher_heuristic=h-add,supervised_batch_size=62,supervised_learning_rate=0.003686,target_rollouts_per_epoch=136",[],80049502000000000000004e2e,19,[],astar,1.0,,0.0,0.00947472800377855,1563500886.9935591,1563500886.9935608,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_1_dropout=0.25,hidden_size=19,l1_reg=0.0,l2_reg=0.0094747,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=38_2019-07-18_10-53-16qu2bm2wv",80049502000000000000004e2e,3,169.229.222.160,0,2,380,80049502000000000000004e2e,31089.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,62,0.0036859637209651925,80049502000000000000004e2e,136,28489.675122976303,28489.675122976303,28489.675122976303,1563500886.0,0.0,,perform_trial,1.0,eb9b33fe,,True
1,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,15.0,0.0,0.0017875290599859356,[],2.0,800.0,h-add,110.0,0.00025105874902657673,107.0,1.2022222222222223,0.20222222222222222,1.0,,2019-07-18_18-11-37,True,0.1,,,717cee46e93d4474917bbd40481b21c9,"2_dropout=0.1,hidden_size=15,l1_reg=0.0,l2_reg=0.0017875,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=800,ssipp_teacher_heuristic=h-add,supervised_batch_size=110,supervised_learning_rate=0.00025106,target_rollouts_per_epoch=107",[],80049502000000000000004e2e,15,[],astar,1.0,,0.0,0.0017875290599859356,1563498697.9353948,1563498697.935398,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_2_dropout=0.1,hidden_size=15,l1_reg=0.0,l2_reg=0.0017875,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=800_2019-07-18_10-53-17biqa8e0f",80049502000000000000004e2e,3,169.229.222.160,0,2,800,80049502000000000000004e2e,31094.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,110,0.00025105874902657673,80049502000000000000004e2e,107,26300.61613178253,26300.61613178253,26300.61613178253,1563498697.0,0.0,,perform_trial,1.0,eb9b33ff,,True
2,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,19.0,0.0,2.0294507358136788e-05,[],2.0,1078.0,h-add,117.0,0.0011327752911492483,134.0,1.2,0.19999999999999998,1.0,,2019-07-18_18-26-15,True,0.25,,,52d477e5bf834a9fabac5569856d1c14,"3_dropout=0.25,hidden_size=19,l1_reg=0.0,l2_reg=2.0295e-05,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1078,ssipp_teacher_heuristic=h-add,supervised_batch_size=117,supervised_learning_rate=0.0011328,target_rollouts_per_epoch=134",[],80049502000000000000004e2e,19,[],astar,1.0,,0.0,2.0294507358136788e-05,1563499575.5034468,1563499575.5034487,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_3_dropout=0.25,hidden_size=19,l1_reg=0.0,l2_reg=2.0295e-05,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1_2019-07-18_10-53-173jbccnul",80049502000000000000004e2e,3,169.229.222.160,0,2,1078,80049502000000000000004e2e,31093.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,117,0.0011327752911492483,80049502000000000000004e2e,134,27178.169642925262,27178.169642925262,27178.169642925262,1563499575.0,0.0,,perform_trial,1.0,eb9b3400,,True
3,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,12.0,0.0,0.001318321055996643,[],2.0,861.0,h-add,101.0,0.0013653751346632155,35.0,1.18,0.18,1.0,,2019-07-18_17-31-07,True,0.25,,,75e57d116ed9422ab2ae3e13f337f719,"4_dropout=0.25,hidden_size=12,l1_reg=0.0,l2_reg=0.0013183,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=861,ssipp_teacher_heuristic=h-add,supervised_batch_size=101,supervised_learning_rate=0.0013654,target_rollouts_per_epoch=35",[],80049502000000000000004e2e,12,[],astar,1.0,,0.0,0.001318321055996643,1563496267.9011364,1563496267.9011397,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_4_dropout=0.25,hidden_size=12,l1_reg=0.0,l2_reg=0.0013183,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=86_2019-07-18_10-53-17xixcob8r",80049502000000000000004e2e,3,169.229.222.160,0,2,861,80049502000000000000004e2e,31071.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,101,0.0013653751346632155,80049502000000000000004e2e,35,23870.548800230026,23870.548800230026,23870.548800230026,1563496267.0,0.0,,perform_trial,1.0,eb9b3401,,True
4,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,14.0,0.0,0.00010449169221769176,[],2.0,1177.0,h-add,85.0,0.0006567056122591806,42.0,1.1644444444444444,0.16444444444444442,1.0,,2019-07-18_17-15-13,True,0.0,,,2c16ca240a2f4785a32e7d213a4eba50,"5_dropout=0,hidden_size=14,l1_reg=0.0,l2_reg=0.00010449,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1177,ssipp_teacher_heuristic=h-add,supervised_batch_size=85,supervised_learning_rate=0.00065671,target_rollouts_per_epoch=42",[],80049502000000000000004e2e,14,[],astar,1.0,,0.0,0.00010449169221769176,1563495313.762744,1563495313.762748,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_5_dropout=0,hidden_size=14,l1_reg=0.0,l2_reg=0.00010449,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1177_2019-07-18_10-53-17u3qrl9pi",80049502000000000000004e2e,3,169.229.222.160,0,2,1177,80049502000000000000004e2e,31082.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,85,0.0006567056122591806,80049502000000000000004e2e,42,22916.412262439728,22916.412262439728,22916.412262439728,1563495313.0,0.0,,perform_trial,1.0,eb9b3402,,True
5,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,14.0,0.0,0.0018158907619560607,[],2.0,351.0,h-add,80.0,0.0006149239717736121,80.0,1.208888888888889,0.20888888888888885,1.0,,2019-07-19_00-13-49,True,0.25,,,8ccc7354f43f45fdb16cf2f7206ad80e,"6_dropout=0.25,hidden_size=14,l1_reg=0.0,l2_reg=0.0018159,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=351,ssipp_teacher_heuristic=h-add,supervised_batch_size=80,supervised_learning_rate=0.00061492,target_rollouts_per_epoch=80",[],80049502000000000000004e2e,14,[],astar,1.0,,0.0,0.0018158907619560607,1563520429.8470793,1563520429.8470817,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_6_dropout=0.25,hidden_size=14,l1_reg=0.0,l2_reg=0.0018159,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=35_2019-07-18_17-15-13e5_xvlrk",80049502000000000000004e2e,3,169.229.222.160,0,2,351,80049502000000000000004e2e,27325.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,80,0.0006149239717736121,80049502000000000000004e2e,80,25114.897676706314,25114.897676706314,25114.897676706314,1563520429.0,0.0,,perform_trial,1.0,eb9b3403,,True
6,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,15.0,0.0,0.005913077156751254,[],2.0,670.0,h-add,108.0,0.00043857899356356645,129.0,1.17,0.16999999999999998,1.0,,2019-07-19_00-32-31,True,0.0,,,c8267273229d475bb8f81abe49a25495,"7_dropout=0,hidden_size=15,l1_reg=0.0,l2_reg=0.0059131,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=670,ssipp_teacher_heuristic=h-add,supervised_batch_size=108,supervised_learning_rate=0.00043858,target_rollouts_per_epoch=129",[],80049502000000000000004e2e,15,[],astar,1.0,,0.0,0.005913077156751254,1563521551.3400705,1563521551.3400724,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_7_dropout=0,hidden_size=15,l1_reg=0.0,l2_reg=0.0059131,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=670,s_2019-07-18_17-31-070l9iyuj3",80049502000000000000004e2e,3,169.229.222.160,0,2,670,80049502000000000000004e2e,31072.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,108,0.00043857899356356645,80049502000000000000004e2e,129,25283.044400453568,25283.044400453568,25283.044400453568,1563521551.0,0.0,,perform_trial,1.0,47611962,,True
7,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,17.0,0.0,0.00017733214833775158,[],2.0,1113.0,h-add,105.0,0.00013686966954574455,83.0,1.1588888888888889,0.15888888888888886,1.0,,2019-07-19_01-03-19,True,0.25,,,0a4a8079e61740b592dd704d3cedcd10,"8_dropout=0.25,hidden_size=17,l1_reg=0.0,l2_reg=0.00017733,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1113,ssipp_teacher_heuristic=h-add,supervised_batch_size=105,supervised_learning_rate=0.00013687,target_rollouts_per_epoch=83",[],80049502000000000000004e2e,17,[],astar,1.0,,0.0,0.00017733214833775158,1563523399.5740714,1563523399.5740728,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_8_dropout=0.25,hidden_size=17,l1_reg=0.0,l2_reg=0.00017733,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=1_2019-07-18_18-11-375lp9e0ze",80049502000000000000004e2e,3,169.229.222.160,0,2,1113,80049502000000000000004e2e,26298.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,105,0.00013686966954574455,80049502000000000000004e2e,83,24701.463238477707,24701.463238477707,24701.463238477707,1563523399.0,0.0,,perform_trial,1.0,8016afae,,True
8,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,18.0,0.0,1.2046668382079492e-05,[],2.0,652.0,h-add,85.0,0.006888549150431847,50.0,1.2622222222222221,0.2622222222222222,1.0,,2019-07-19_01-21-40,True,0.25,,,e9bae3c350b446bd95bb99afe4414dda,"9_dropout=0.25,hidden_size=18,l1_reg=0.0,l2_reg=1.2047e-05,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=652,ssipp_teacher_heuristic=h-add,supervised_batch_size=85,supervised_learning_rate=0.0068885,target_rollouts_per_epoch=50",[],80049502000000000000004e2e,18,[],astar,1.0,,0.0,1.2046668382079492e-05,1563524500.1909008,1563524500.190902,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_9_dropout=0.25,hidden_size=18,l1_reg=0.0,l2_reg=1.2047e-05,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=6_2019-07-18_18-26-152jefjwna",80049502000000000000004e2e,3,169.229.222.160,0,2,652,80049502000000000000004e2e,27334.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,85,0.006888549150431847,80049502000000000000004e2e,50,24924.564588069916,24924.564588069916,24924.564588069916,1563524500.0,0.0,,perform_trial,1.0,287db228,,True
9,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,13.0,0.0,0.00020561205804118577,[],2.0,578.0,h-add,66.0,0.0032870358252669175,101.0,1.1855555555555555,0.18555555555555556,1.0,,2019-07-19_01-35-54,True,0.25,,,515e7e77435e499e98ed19e7e5f77569,"10_dropout=0.25,hidden_size=13,l1_reg=0.0,l2_reg=0.00020561,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=578,ssipp_teacher_heuristic=h-add,supervised_batch_size=66,supervised_learning_rate=0.003287,target_rollouts_per_epoch=101",[],80049502000000000000004e2e,13,[],astar,1.0,,0.0,0.00020561205804118577,1563525354.835655,1563525354.835656,[],experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_10_dropout=0.25,hidden_size=13,l1_reg=0.0,l2_reg=0.00020561,learning_rate_steps=(),num_layers=2,opt_batch_per_epoch=_2019-07-18_18-48-07mxvmhl4m",80049502000000000000004e2e,3,169.229.222.160,0,2,578,80049502000000000000004e2e,27882.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,66,0.0032870358252669175,80049502000000000000004e2e,101,24467.72588610649,24467.72588610649,24467.72588610649,1563525354.0,0.0,,perform_trial,1.0,338fefbc,,True
